eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Wanda Maximoff (Earth-616);0.3197;0.0385;0.0286;0;0.048;
Nicholas Fury (Earth-616);0.0074;0.7471;0.0022;0;0.0088;
Janet van Dyne (Earth-616);0.0837;0.0148;0.0015;0;0.0159;
Jean Grey (Earth-616);0.4627;0.0532;0.0026;0;0.0354;
Natalia Romanova (Earth-616);0.5237;0.0031;0.0309;0;0.0013;
Kurt Wagner (Earth-616);0.0512;0.0095;0.3664;0.4776;0.0491;
Vision (Earth-616);0.0512;0.0095;0.3664;0.4776;0.0491;
May Reilly (Earth-616);0.0355;0.0286;0.0063;0;0.0142;
Katherine Pryde (Earth-616);7e-04;0.0131;0.1025;0;0.3205;
Carol Danvers (Earth-616);0.0464;0.1204;0.0524;0;4e-04;
Jennifer Walters (Earth-616);0.3197;0.0385;0.0286;0;0.048;
Emma Frost (Earth-616);0.0229;0.1917;0.0127;0;4e-04;
Frank Castle (Earth-616);0.0302;0.1648;0.1;0;0.1361;
Luke Cage (Earth-616);0.0192;0.3313;0.0124;0;0.028;
Rogue (Anna Marie) (Earth-616);0.1724;0.0052;0.0559;0;0.0593;

var
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
No Dual;0.4303;1.4735;-0.3217;0;0.723;
Public;0.1919;-0.0915;-0.248;0;0.2071;
Secret;-0.5384;-0.4344;0.5994;0;-0.6875;
Good;0.0142;-0.2485;0.0701;0;-0.0995;
Neutral;-0.0997;1.7392;-0.4904;0;0.6964;
Blue Eyes;-0.1897;-0.3774;-0.3832;0;0.1069;
Brown Eyes;-0.4907;1.4086;9e-04;0;-0.3718;
Gold Eyes;-1.3609;-0.6303;4.1026;4.8887;1.5979;
Green Eyes;2.0495;0.2935;0.4936;0;-0.0508;
Grey Eyes;-0.4564;0.3846;-0.6417;0;1.145;
Hazel Eyes;-0.2066;0.5686;1.3846;0;-2.429;
Yellow Eyes;-1.3609;-0.6303;4.1026;-4.8887;1.5979;
Auburn;1.3686;-0.3952;0.6199;0;-0.8674;
Bald;0.4472;-1.8326;-1.0317;0;3.5093;
Black;-0.4559;0.2243;-0.5608;0;0.2301;
Blond;-0.1897;-0.8038;-0.5389;0;-0.036;
Blue;-0.9586;-0.4839;2.6684;-3.4568;1.4165;
Brown;-0.1186;0.9427;0.3107;0;-0.8543;
Grey;0.99;0.9576;-0.4691;0;0.7501;
No;-0.9586;-0.4839;2.6684;3.4568;1.4165;
Red;2.158;-0.4407;0.3959;0;0.0381;
White;-0.1576;-0.0567;-0.5174;0;-0.0987;
Female;0.9954;-0.251;0.0301;0;-0.439;
Male;-0.4715;0.1189;-0.0143;0;0.208;
Bisexual Characters;4.0957;-0.3372;1.1214;0;-0.2431;
Unspecified;-0.0745;0.0061;-0.0204;0;0.0044;
Deceased;0.9137;-1.6039;-0.4853;0;1.5582;
Living;-0.0517;0.0908;0.0275;0;-0.0882;
DC;-0.5171;-0.6841;-0.4464;0;-0.6325;
Marvel;0.2254;0.2982;0.1946;0;0.2757;

contrib
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
No Dual;0.9797;13.3327;0.6959;0;3.9739;
